unified_customer_id,telco_customer_id,action_status,churn_label,predicted_churn_probability,predicted_churn_label,churn_risk_segment,retention_priority,customer_value_segment,monthly_charges,estimated_customer_lifetime_value,monthly_revenue_at_risk,primary_recommendation,secondary_recommendation,recommendation_reason,risk_driver_summary,expected_save_rate,estimated_action_cost,estimated_gross_mrr_saved,estimated_net_mrr_impact,annualized_net_revenue_impact,tenure,tenure_segment,contract,payment_method,payment_risk_score,inactivity_days,activity_status,engagement_score,customer_health_score,support_ticket_count,open_ticket_count,critical_ticket_count,low_satisfaction_ticket_count,complaint_frequency,support_burden_score,avg_satisfaction_rating,prediction_scope,best_model_name,total_charges_imputed,avg_monthly_spend,estimated_customer_lifetime_value_feature,customer_health_score_feature,expected_monthly_revenue_loss,expected_annual_revenue_loss,expected_clv_at_risk,revenue_recovery_potential,net_recovery_potential,annualized_recovery_potential
CUST0000238,0365-BZUWY,active_retention,0,0.9206401979785312,1,high risk,P1 high,established_value,102.55,1743.35,94.41,customer support escalation,service recovery follow-up,"Support friction is visible through open, critical, complaint, or low satisfaction signals.","support friction, payment risk, valuable customer",0.3,0.0,31.16,31.16,373.92,17,13_24_months,month_to_month,electronic_check,1.0,2.0,active_0_30_days,0.4766,0.3636,1.0,1.0,1.0,0.0,1.0,0.4498,3.0,full_model_scoring,logistic_regression,1742.5,102.5,1743.35,0.3636,94.41,1132.92,1605.0,31.16,31.16,373.92
CUST0002302,3292-PBZEJ,active_retention,0,0.8466235352192649,1,high risk,P1 high,emerging_value,111.4,1225.4,94.31,discount offer,payment method review,High churn probability combines with payment risk and price pressure.,"payment risk, early tenure",0.24,16.71,21.5,4.79,57.48,11,7_12_months,month_to_month,electronic_check,1.0,30.0,active_0_30_days,0.4339,0.4465,0.0,0.0,0.0,0.0,0.0,0.0,3.0,holdout_prediction_output,logistic_regression,1183.05,107.55,1225.4,0.4465,94.31,1131.72,1037.45,21.5,4.79,57.48
CUST0004223,5956-YHHRX,active_retention,0,0.8958309242071433,1,high risk,P1 high,established_value,104.35,2191.35,93.48,customer support escalation,service recovery follow-up,"Support friction is visible through open, critical, complaint, or low satisfaction signals.","low engagement, support friction, payment risk, valuable customer",0.3,0.0,30.85,30.85,370.2,21,13_24_months,month_to_month,electronic_check,1.0,262.0,inactive_90_plus_days,0.292,0.4036,1.0,0.0,0.0,0.0,1.0,0.0276,3.0,holdout_prediction_output,logistic_regression,2271.85,108.18333333333332,2191.35,0.4036,93.48,1121.76,1963.08,30.85,30.85,370.2
CUST0001414,2081-VEYEH,active_retention,0,0.8622041372330134,1,high risk,P1 high,low_value,107.95,323.85,93.07,discount offer,payment method review,High churn probability combines with payment risk and price pressure.,"payment risk, early tenure",0.24,16.1925,17.87,1.68,20.16,3,0_6_months,month_to_month,electronic_check,1.0,32.0,active_31_90_days,0.4321,0.4291,0.0,0.0,0.0,0.0,0.0,0.0,3.0,full_model_scoring,logistic_regression,318.6,106.2,323.85,0.4291,93.07,1116.84,279.22,17.87,1.68,20.16
CUST0004080,5760-IFJOZ,active_retention,0,0.8601246289135904,1,high risk,P1 high,low_value,107.95,323.85,92.85,onboarding assistance,product adoption coaching,Early lifecycle or low health customers need help realizing product value.,"low engagement, early tenure",0.22,10.0,16.34,6.34,76.08,3,0_6_months,month_to_month,mailed_check,0.35,301.0,inactive_90_plus_days,0.2686,0.4937,0.0,0.0,0.0,0.0,0.0,0.0,3.0,holdout_prediction_output,logistic_regression,313.6,104.53333333333336,323.85,0.4937,92.85,1114.2,278.55,16.34,6.34,76.08
CUST0000960,1393-IMKZG,active_retention,0,0.9663497244508128,1,high risk,P1 high,low_value,95.85,95.85,92.62,customer support escalation,service recovery follow-up,"Support friction is visible through open, critical, complaint, or low satisfaction signals.","support friction, payment risk, early tenure",0.3,0.0,22.23,22.23,266.76,1,0_6_months,month_to_month,electronic_check,1.0,3.0,active_0_30_days,0.4604,0.3298,5.0,3.0,0.0,0.0,0.8,0.4257,4.0,full_model_scoring,logistic_regression,95.85,95.85,95.85,0.3298,92.62,1111.44,92.62,22.23,22.23,266.76
CUST0004793,6734-GMPVK,active_retention,0,0.8736101636809934,1,high risk,P1 high,emerging_value,105.3,526.5,91.99,discount offer,payment method review,High churn probability combines with payment risk and price pressure.,"low engagement, payment risk, early tenure",0.24,15.794999999999998,20.97,5.18,62.16,5,0_6_months,month_to_month,electronic_check,0.8,275.0,inactive_90_plus_days,0.2887,0.4159,0.0,0.0,0.0,0.0,0.0,0.0,3.0,full_model_scoring,logistic_regression,550.6,110.12,526.5,0.4159,91.99,1103.88,459.96,20.97,5.18,62.16
CUST0004255,5995-SNNEW,active_retention,0,0.8704194675896868,1,high risk,P1 high,established_value,104.45,2402.35,90.92,customer support escalation,service recovery follow-up,"Support friction is visible through open, critical, complaint, or low satisfaction signals.","support friction, payment risk, valuable customer",0.3,0.0,30.0,30.0,360.0,23,13_24_months,month_to_month,electronic_check,1.0,3.0,active_0_30_days,0.4599,0.3694,1.0,1.0,1.0,0.0,1.0,0.4498,3.0,full_model_scoring,logistic_regression,2184.85,94.99347826086957,2402.35,0.3694,90.92,1091.04,2091.05,30.0,30.0,360.0
CUST0004505,6350-XFYGW,active_retention,0,0.9568077033555366,1,high risk,P1 high,low_value,94.75,379.0,90.66,customer support escalation,service recovery follow-up,"Support friction is visible through open, critical, complaint, or low satisfaction signals.","low engagement, support friction, payment risk, early tenure",0.3,0.0,21.76,21.76,261.12,4,0_6_months,month_to_month,electronic_check,1.0,333.0,inactive_90_plus_days,0.2471,0.2447,1.0,1.0,1.0,0.0,1.0,0.4498,3.0,full_model_scoring,logistic_regression,422.4,105.6,379.0,0.2447,90.66,1087.92,362.63,21.76,21.76,261.12
CUST0005088,7145-FEJWU,active_retention,0,0.8607571283101835,1,high risk,P1 high,emerging_value,105.3,1263.6,90.64,discount offer,payment method review,High churn probability combines with payment risk and price pressure.,"payment risk, early tenure",0.24,15.794999999999998,20.67,4.88,58.56,12,7_12_months,month_to_month,electronic_check,1.0,87.0,active_31_90_days,0.3978,0.4341,0.0,0.0,0.0,0.0,0.0,0.0,3.0,full_model_scoring,logistic_regression,1275.65,106.30416666666667,1263.6,0.4341,90.64,1087.68,1087.65,20.67,4.88,58.56
CUST0005251,7398-SKNQZ,active_retention,0,0.9526734471023728,1,high risk,P1 high,low_value,94.9,284.70000000000005,90.41,customer support escalation,service recovery follow-up,"Support friction is visible through open, critical, complaint, or low satisfaction signals.","support friction, payment risk, early tenure",0.3,0.0,21.7,21.7,260.4,3,0_6_months,month_to_month,electronic_check,0.8,22.0,active_0_30_days,0.4491,0.3965,3.0,2.0,0.0,1.0,1.0,0.3176,2.0,full_model_scoring,logistic_regression,273.2,91.06666666666666,284.70000000000005,0.3965,90.41,1084.92,271.23,21.7,21.7,260.4
CUST0003642,5150-ITWWB,active_retention,0,0.9521291026551464,1,high risk,P1 high,low_value,94.85,284.54999999999995,90.31,discount offer,payment method review,High churn probability combines with payment risk and price pressure.,"payment risk, early tenure",0.24,14.2275,17.34,3.11,37.32,3,0_6_months,month_to_month,electronic_check,1.0,11.0,active_0_30_days,0.4494,0.436,0.0,0.0,0.0,0.0,0.0,0.0,3.0,full_model_scoring,logistic_regression,335.75,111.91666666666669,284.54999999999995,0.436,90.31,1083.72,270.93,17.34,3.11,37.32
