unified_customer_id,telco_customer_id,action_status,churn_label,predicted_churn_probability,predicted_churn_label,churn_risk_segment,retention_priority,customer_value_segment,monthly_charges,estimated_customer_lifetime_value,monthly_revenue_at_risk,primary_recommendation,secondary_recommendation,recommendation_reason,risk_driver_summary,expected_save_rate,estimated_action_cost,estimated_gross_mrr_saved,estimated_net_mrr_impact,annualized_net_revenue_impact,tenure,tenure_segment,contract,payment_method,payment_risk_score,inactivity_days,activity_status,engagement_score,customer_health_score,support_ticket_count,open_ticket_count,critical_ticket_count,low_satisfaction_ticket_count,complaint_frequency,support_burden_score,avg_satisfaction_rating,prediction_scope,best_model_name
CUST0000296,0434-CSFON,active_retention,0,0.8634063731692363,1,high risk,P0 critical,high_value,100.5,4723.5,86.77,discount offer,payment method review,High churn probability combines with payment risk and price pressure.,"low engagement, payment risk, valuable customer",0.24,15.075,27.07,12.0,144.0,47,25_48_months,month_to_month,electronic_check,1.0,114.0,inactive_90_plus_days,0.3806,0.5002,0.0,0.0,0.0,0.0,0.0,0.0,3.0,full_model_scoring,logistic_regression
CUST0006761,9600-NAXZN,winback_review,1,0.8588825181700979,1,high risk,P0 critical,high_value,101.4,4360.2,87.09,discount offer,payment method review,High churn probability combines with payment risk and price pressure.,"low engagement, payment risk, valuable customer",0.24,15.21,27.17,11.96,143.52,43,25_48_months,month_to_month,electronic_check,1.0,408.0,inactive_90_plus_days,0.2012,0.4043,1.0,0.0,0.0,0.0,0.0,0.063,3.0,full_model_scoring,logistic_regression
CUST0006099,8634-MPHTR,winback_review,1,0.853108915115495,1,high risk,P0 critical,high_value,100.05,4702.349999999999,85.35,discount offer,payment method review,High churn probability combines with payment risk and price pressure.,"low engagement, payment risk, valuable customer",0.24,15.007499999999999,26.63,11.62,139.44,47,25_48_months,month_to_month,electronic_check,1.0,623.0,inactive_90_plus_days,0.0701,0.371,1.0,0.0,0.0,0.0,0.0,0.02,4.0,holdout_prediction_output,logistic_regression
CUST0006315,8938-UMKPI,winback_review,1,0.8363089667882053,1,high risk,P0 critical,high_value,106.4,5000.8,88.98,customer support escalation,service recovery follow-up,"Support friction is visible through open, critical, complaint, or low satisfaction signals.","low engagement, support friction, payment risk, valuable customer",0.3,0.0,34.7,34.7,416.4,47,25_48_months,month_to_month,electronic_check,1.0,219.0,inactive_90_plus_days,0.3165,0.4511,1.0,0.0,0.0,0.0,1.0,0.0935,4.0,full_model_scoring,logistic_regression
CUST0000210,0324-BRPCJ,winback_review,1,0.828688234548296,1,high risk,P0 critical,high_value,100.2,6813.6,83.03,discount offer,payment method review,High churn probability combines with payment risk and price pressure.,"low engagement, payment risk, valuable customer",0.24,15.03,25.91,10.88,130.56,68,49_plus_months,month_to_month,electronic_check,1.0,681.0,inactive_90_plus_days,0.0348,0.4056,0.0,0.0,0.0,0.0,0.0,0.0,3.0,full_model_scoring,logistic_regression
CUST0000092,0147-ESWWR,active_retention,0,0.8260479477031462,1,high risk,P0 critical,high_value,101.25,3948.75,83.64,customer support escalation,service recovery follow-up,"Support friction is visible through open, critical, complaint, or low satisfaction signals.","support friction, payment risk, valuable customer",0.3,0.0,32.62,32.62,391.44,39,25_48_months,month_to_month,electronic_check,1.0,1.0,active_0_30_days,0.486,0.4632,1.0,1.0,0.0,0.0,1.0,0.2498,3.0,full_model_scoring,logistic_regression
CUST0005939,8374-XGEJJ,winback_review,1,0.8164382745327229,1,high risk,P0 critical,high_value,101.0,4343.0,82.46,customer support escalation,service recovery follow-up,"Support friction is visible through open, critical, complaint, or low satisfaction signals.","low engagement, support friction, payment risk, valuable customer",0.3,0.0,32.16,32.16,385.92,43,25_48_months,month_to_month,electronic_check,1.0,429.0,inactive_90_plus_days,0.1893,0.3029,1.0,1.0,1.0,0.0,1.0,0.4498,3.0,full_model_scoring,logistic_regression
CUST0001264,1866-RZZQS,winback_review,1,0.8079954141427136,1,high risk,P0 critical,high_value,98.4,4034.4,79.51,customer support escalation,service recovery follow-up,"Support friction is visible through open, critical, complaint, or low satisfaction signals.","low engagement, support friction, payment risk, valuable customer",0.3,0.0,31.01,31.01,372.12,41,25_48_months,month_to_month,electronic_check,1.0,99.0,inactive_90_plus_days,0.3923,0.4299,1.0,1.0,0.0,0.0,1.0,0.2498,3.0,full_model_scoring,logistic_regression
CUST0006906,9801-GDWGV,winback_review,1,0.8066766401255239,1,high risk,P0 critical,high_value,103.45,4034.55,83.45,discount offer,payment method review,High churn probability combines with payment risk and price pressure.,"low engagement, payment risk, valuable customer",0.24,15.5175,26.04,10.52,126.24,39,25_48_months,month_to_month,electronic_check,1.0,654.0,inactive_90_plus_days,0.0512,0.3517,0.0,0.0,0.0,0.0,0.0,0.0,3.0,full_model_scoring,logistic_regression
CUST0006985,9912-OMZDS,active_retention,0,0.7991607378537614,1,high risk,P0 critical,high_value,106.15,6262.85,84.83,discount offer,payment method review,High churn probability combines with payment risk and price pressure.,"payment risk, valuable customer",0.24,15.9225,26.47,10.55,126.6,59,49_plus_months,one_year,electronic_check,0.65,63.0,active_31_90_days,0.414,0.6085,0.0,0.0,0.0,0.0,0.0,0.0,3.0,holdout_prediction_output,logistic_regression
